first_name;last_name;address;phone;email;birth_date
Aron;Smith;8127,_Aba,_Valamilyen_utca_3.;308497356;aronsmith@valamilyenmail.com;1970.10.10
Tom;Banner;5241,_Abádszalók,_Hatvani_út_11.;208439657;tomb52@valamilyenmail.com;1986.05.06
Jim;Willis;3881,_Abaújszántó,_Illés_út_210.;707549831;jwabad@valamilyenmail.com;1990.10.11
William;Johnson;2500,_Esztergom,_Hovamész_utca_35/b.;509865412;willj191@valamilyenmail.com;1966.04.28
Robert;Walker;4220,_Hajdúböszörmény,_Kis_köz_4.;203684597;iAmRobertWilliams@valamilyenmail.com;1978.07.08
Patrick;Daniels;6760,_Kistelek,_Komáromi_út_66.;705478547;patrickD44@valamilyenmail.com;1989.12.11
Steve;Morrison;2900,_Komárom,_Tiszafa_utca_92.;305558468;steveM1@valamilyenmail.com;1974.01.12
Anthony;Stark;8700,_Marcali,_Péntek_tér_11.;706699886;starkI71@valamilyenmail.com;1981.02.16
Bruce;Fisherman;5800,_Mezõkovácsháza,_Holland_út_54/a.;204415986;bruceFishes@valamilyenmail.com;1991.03.01
Martin;Tarantino;3060,_Pásztó,_Orsolya_utca_99.;708458576;MTpic@valamilyenmail.com;1985.08.05
Attila;Lajko;2194,_Tura,_Szent_István_út_1/a.;203748305;lajkoatis95@gmail.com;1995.11.02
